Date,Open,High,Low,Close,Adj Close,Volume
19-10-2021,2865.830,2882.14,2861.92,2876.44,2876.44,765800.00
20-10-2021,2884.450,2884.96,2838.24,2848.30,2848.30,897000.00
21-10-2021,2843.840,2856.99,2832.74,2855.61,2855.61,742500.00
22-10-2021,2807.020,2831.17,2743.41,2772.50,2772.50,1509100.00
25-10-2021,2776.210,2784.12,2734.97,2775.46,2775.46,1054100.00
26-10-2021,2812.120,2816.79,2780.11,2793.44,2793.44,1412900.00
27-10-2021,2798.050,2982.36,2798.05,2928.55,2928.55,2592500.00
28-10-2021,2945.980,2948.49,2895.27,2922.58,2922.58,1620900.00
29-10-2021,2910.400,2972.26,2903.33,2965.41,2965.41,1447700.00
01-11-2021,2963.300,2967.99,2871.59,2875.48,2875.48,1613600.00
02-11-2021,2896.188,2938.41,2892.82,2917.26,2917.26,1057500.00
03-11-2021,2925.500,2938.21,2901.07,2935.80,2935.80,894300.00
04-11-2021,2944.000,2999.00,2932.70,2973.66,2973.66,1235000.00
05-11-2021,2987.070,3011.42,2973.04,2984.82,2984.82,1020400.00
08-11-2021,3000.000,3020.69,2982.40,2987.03,2987.03,919400.00
09-11-2021,2994.920,3007.57,2950.14,2984.97,2984.97,843800.00
10-11-2021,2960.195,2974.00,2906.50,2932.52,2932.52,1135400.00
11-11-2021,2942.140,2970.04,2933.89,2934.96,2934.96,623200.00
12-11-2021,2956.630,2997.19,2929.08,2992.91,2992.91,852400.00
15-11-2021,3000.000,3009.54,2973.05,2987.76,2987.76,812400.00
16-11-2021,2983.410,2996.65,2967.00,2981.52,2981.52,862700.00
17-11-2021,2984.580,2992.52,2971.26,2981.24,2981.24,764500.00
18-11-2021,2982.920,3032.20,2979.97,3014.18,3014.18,1332900.00
19-11-2021,3020.000,3037.00,2997.75,2999.05,2999.05,988300.00
22-11-2021,3002.835,3014.89,2940.11,2941.57,2941.57,1230400.00
23-11-2021,2942.260,2953.88,2897.79,2935.14,2935.14,906300.00
24-11-2021,2927.000,2940.00,2903.98,2934.35,2934.35,823200.00
26-11-2021,2900.310,2905.94,2849.71,2856.12,2856.12,849600.00
29-11-2021,2885.970,2937.24,2885.97,2922.28,2922.28,1313800.00
30-11-2021,2909.005,2932.57,2841.32,2849.04,2849.04,2079500.00
01-12-2021,2884.250,2929.98,2830.00,2832.36,2832.36,1423800.00
02-12-2021,2836.480,2893.50,2819.64,2875.53,2875.53,1062500.00
03-12-2021,2889.910,2904.26,2823.00,2850.41,2850.41,1334400.00
06-12-2021,2871.480,2887.03,2812.94,2875.93,2875.93,1109900.00
07-12-2021,2919.000,2966.00,2914.05,2960.73,2960.73,1162900.00
08-12-2021,2966.630,2983.13,2944.00,2974.41,2974.41,948200.00
09-12-2021,2963.520,2992.10,2950.58,2962.12,2962.12,929000.00
10-12-2021,2982.000,2988.00,2947.15,2973.50,2973.50,1081700.00
13-12-2021,2968.880,2971.25,2927.20,2934.09,2934.09,1205200.00
14-12-2021,2895.400,2908.84,2844.85,2899.41,2899.41,1238900.00
15-12-2021,2887.320,2950.34,2854.11,2947.37,2947.37,1364000.00
16-12-2021,2961.540,2971.03,2881.85,2896.77,2896.77,1370000.00
17-12-2021,2854.290,2889.20,2835.76,2856.06,2856.06,2170200.00
20-12-2021,2813.592,2852.21,2805.00,2848.03,2848.03,1013200.00
21-12-2021,2863.000,2893.84,2834.70,2884.41,2884.41,977400.00
22-12-2021,2882.000,2946.06,2879.26,2938.98,2938.98,921900.00
23-12-2021,2941.790,2971.45,2939.02,2942.85,2942.85,690900.00
27-12-2021,2949.270,2968.53,2945.00,2961.28,2961.28,662800.00
28-12-2021,2967.490,2967.49,2918.71,2928.96,2928.96,931200.00
29-12-2021,2928.590,2943.68,2910.09,2930.09,2930.09,851100.00
30-12-2021,2929.000,2941.25,2915.17,2920.05,2920.05,648900.00
31-12-2021,2910.880,2927.30,2893.55,2893.59,2893.59,864900.00
03-01-2022,2889.510,2911.00,2870.05,2901.49,2901.49,1260700.00
04-01-2022,2911.010,2932.20,2876.32,2888.33,2888.33,1146400.00
05-01-2022,2883.620,2885.96,2750.47,2753.07,2753.07,2482100.00
06-01-2022,2749.950,2793.72,2735.27,2751.02,2751.02,1452500.00
07-01-2022,2758.100,2765.09,2715.78,2740.09,2740.09,970400.00
10-01-2022,2701.980,2772.80,2662.81,2771.48,2771.48,1704800.00
11-01-2022,2763.610,2806.59,2736.27,2800.35,2800.35,1175100.00
12-01-2022,2831.090,2856.28,2822.24,2832.96,2832.96,1182100.00
13-01-2022,2836.810,2863.71,2778.28,2782.62,2782.62,1328300.00
14-01-2022,2750.000,2824.01,2750.00,2795.73,2795.73,1191300.00
18-01-2022,2732.000,2747.83,2712.34,2725.81,2725.81,1369100.00
19-01-2022,2738.770,2767.99,2710.00,2713.04,2713.04,1039800.00
20-01-2022,2730.280,2758.24,2662.89,2670.13,2670.13,1096500.00
21-01-2022,2660.240,2695.21,2600.02,2601.84,2601.84,2096000.00
24-01-2022,2520.550,2615.57,2492.84,2607.44,2607.44,2757400.00
25-01-2022,2568.710,2586.77,2527.56,2534.71,2534.71,1800400.00
26-01-2022,2611.850,2656.15,2543.07,2584.80,2584.80,1981500.00
27-01-2022,2627.220,2652.20,2578.90,2582.42,2582.42,1512400.00
28-01-2022,2600.000,2667.41,2573.89,2665.79,2665.79,1525900.00
31-01-2022,2683.960,2716.87,2645.48,2713.97,2713.97,1702800.00
01-02-2022,2756.700,2764.00,2691.36,2757.57,2757.57,2560200.00
02-02-2022,3037.270,3042.00,2911.15,2960.73,2960.73,4487500.00
